time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
370853452,80.0288,267.073,-2.46,-156.973,28.0375,-174.727,-174.287,240.713,-242.221,237.112,237.858,-71.1969,-0.608643,0.376831,1.59,0,0
370894574,79.4705,265.16,-0.73,-157.764,24.2582,-174.463,-171.387,238.263,-240.37,234.966,236.249,-70.132,-0.434509,0.870483,0.3,0,0
370954520,78.9927,263.48,0.44,-157.939,23.2035,-172.969,-164.971,236.404,-238.908,232.967,234.538,-48.5295,0.363281,0.175415,-1.08,0,0
370993963,78.434,261.282,1.6,-162.598,19.0726,-167.607,-166.025,233.807,-236.568,230.626,232.734,-23.5802,-0.190063,1.01624,-1.72,0,0
371048755,78.1598,259.381,1.94,-168.135,11.6019,-171.035,-171.387,232.026,-234.81,228.488,230.727,-7.60651,-0.43689,0.252502,-1.99,0,0
371093249,78.3258,256.989,1.99,178.682,-3.69106,179.736,177.891,229.631,-231.972,226.403,228.449,16.8864,-1.43628,0.398438,-1.86,0,0
371133069,78.609,255.635,1.66,167.871,-12.4801,172.529,171.211,228.394,-230.494,224.871,227.158,15.8215,-0.960938,-0.429382,-1.53,0,0
371194773,79.7874,253.388,1,152.051,-27.4215,154.424,154.336,226.116,-227.477,222.577,224.599,33.0122,-1.06219,-0.31842,-0.78,0,0
371251476,81.368,251.659,0.15,134.736,-43.6813,140.098,140.186,223.682,-224.965,220.765,221.978,30.7303,-1.14368,-0.497864,0.04,0,0
371306456,83.4178,250.035,-0.48,124.717,-52.9098,130.518,129.375,221.419,-221.706,218.448,219.35,36.207,-1.75745,-0.0737915,0.71,0,0
371360013,85.3908,248.825,-1.35,117.949,-60.2926,123.047,120.41,219.085,-219.016,216.418,217.141,20.6897,-2.02405,-0.254883,1.5,0,0
371422798,88.0026,247.725,-1.77,110.303,-68.9938,112.676,110.303,216.169,-215.687,213.688,214.777,13.5396,-1.1358,0.00366211,1.96,0,0
371473697,91.1361,246.765,-2.14,105.645,-76.904,106.26,104.766,212.903,-212.188,210.601,211.519,16.2779,-0.517822,-0.88623,2.21,0,0
371521413,93.8372,246.121,-2.32,102.744,-81.0348,103.184,100.02,210.08,-209.194,208.268,208.556,-1.97769,-0.076355,0.652405,2.34,0,0
371577031,97.0456,245.534,-2.31,100.195,-84.5504,100.459,96.0644,207.055,-205.865,204.722,205.398,-4.86816,-1.59137,-0.518921,2.25,0,0
371632815,101.11,245.027,-2.14,97.207,-87.5387,97.9981,92.6367,203.182,-201.883,200.779,200.795,-19.3205,0.357971,-0.343872,2.03,0,0
371675280,104.397,244.679,-1.83,96.2402,-88.0661,96.6797,92.1972,199.605,-198.228,197.793,197.785,-15.3651,-0.741577,-0.100708,1.72,0,0
371725604,107.543,244.422,-1.52,95.2734,-89.1208,95.1856,90.9668,196.735,-195.273,194.146,194.62,-17.9514,-1.92737,-0.0800171,1.43,0,0
371779292,111.716,244.199,-1.14,93.0762,-89.736,93.8672,90.7031,192.886,-191.299,190.094,189.775,-15.8215,-0.963867,0.0629883,1.05,0,0
371833720,116.718,243.984,-0.82,92.7246,-89.736,92.9883,90.7031,188.033,-186.322,185.125,184.541,-9.88846,-1.02338,0.0805664,0.82,0,0
371887712,121.099,243.829,-0.66,92.6367,-89.8239,92.3731,90.3515,183.647,-181.866,180.894,180.078,-0,-0.399902,-1.04242,0.67,0,0
