time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
394544089,82.4404,274.8,-10.14,13.0078,11.1625,-164.268,13.7988,-249.967,-245.262,244.368,-242.112,3.19473,-0.0322266,0.402649,10.14,25.7663,23.5574,-20.4998,62.0929,-23.699,
394567229,82.4755,274.88,-10.14,13.0078,11.2503,-164.18,13.8867,-250.06,-245.347,244.461,-242.19,-4.10751,-0.0388184,0.38855,10.11,25.7663,23.5574,-20.5916,62.3561,-23.6794,
394595861,82.5172,274.977,-10.1,13.0078,11.2503,-164.18,13.7109,-250.146,-245.472,244.562,-242.299,-0.760651,0.0822144,0.46344,10.1,25.7663,23.5574,-21.0937,65.5469,-22.9752,
394627852,82.5436,275.037,-10.12,13.0078,11.2503,-164.18,13.7988,-250.223,-245.542,244.632,-242.346,0.912781,-0.214233,0.107666,10.12,25.7663,23.5574,-21.0341,65.7816,-22.8501,
394662552,82.5459,275.043,-10.1,13.0078,11.2503,-164.268,13.7988,-250.223,-245.557,244.64,-242.346,2.43408,-0.0135498,0.289124,10.1,25.7663,23.5574,-21.3088,66.316,-22.8887,
394677751,82.5467,275.044,-10.11,13.0078,11.1625,-164.268,13.7988,-250.223,-245.557,244.64,-242.353,2.12982,-0.18988,0.271545,10.11,25.7663,23.5574,-20.8806,63.1109,-23.6453,
394740000,82.5459,275.043,-10.11,12.9199,11.2503,-164.18,13.8867,-250.223,-245.557,244.64,-242.346,-0.608521,0.0723267,0.0217896,10.12,25.7235,23.5574,-15.95,56.7065,-21.6771,
394794141,82.5443,275.039,-10.09,13.0078,11.2503,-164.18,13.8867,-250.216,-245.557,244.632,-242.346,-2.12982,-0.103271,-0.0966797,10.08,25.702,23.4103,-18.6678,51.795,-26.3444,
394824399,82.5459,275.043,-10.08,13.0078,11.2503,-164.268,13.9746,-250.216,-245.557,244.64,-242.353,1.82556,-0.199219,-0.0921021,10.1,25.6377,23.0954,-17.2013,54.1554,-23.8766,
394868049,82.5658,275.087,-10.11,14.0625,13.1839,-164.18,15.4687,-250.231,-245.674,244.671,-242.385,-0.608521,-0.146118,0.0836792,10.11,25.6163,21.7112,-15.623,55.6474,-21.767,
394911374,82.4977,274.958,-10.07,18.2812,23.9066,-164.531,14.7656,-250.083,-245.55,244.484,-242.26,-8.0629,-0.0767212,0.510864,10.07,25.5949,19.9308,-15.9533,56.5805,-21.7272,
394948543,82.4933,274.952,-10.04,22.5879,29.3558,-169.189,12.3926,-250.06,-245.542,244.484,-242.26,-1.67343,0.28656,0.429565,10.04,25.552,17.5396,-15.9042,56.4216,-21.7407,
394985236,82.4854,274.936,-10.08,23.0273,31.5531,-174.287,10.8984,-250.021,-245.542,244.476,-242.237,9.73633,-0.0430298,0.123413,10.08,24.8232,14.92,-15.9249,56.3719,-21.7789,
395019220,82.4681,274.898,-10.22,23.0273,32.6078,-176.748,6.32811,-249.998,-245.503,244.453,-242.151,15.6694,0.185303,0.00274658,10.31,23.6656,12.226,-16.0585,56.8839,-21.7126,
395070442,82.4084,274.748,-10.2,23.0273,32.9593,179.561,-1.23049,-249.827,-245.379,244.329,-241.902,-22.5153,0.0845947,0.0556641,10.2,20.686,8.57341,-14.9287,56.2369,-20.8822,
395108681,82.4022,274.732,-10.17,23.2031,32.9593,179.121,-3.69142,-249.811,-245.363,244.298,-241.895,-9.88846,-0.0620728,0.41217,10.17,15.5413,5.77905,-27.272,71.1124,-25.6812,
395151585,82.3605,274.624,-9.98,23.1152,33.7503,178.506,-5.36135,-249.679,-245.27,244.158,-241.778,-22.5153,0.301025,-0.074707,9.98,8.74598,2.92067,-16.941,59.9016,-21.4297,
395194265,82.3078,274.51,-9.7,23.1152,33.9261,178.066,-6.41603,-249.477,-245.153,244.041,-241.692,-16.7343,0.27887,1.23798,9.55,0.0214362,-0.0899732,-29.0774,78.4411,-24.5972,
395231482,82.2118,274.259,-9.51,23.1152,34.014,178.066,-6.59182,-249.166,-244.928,243.652,-241.498,33.4686,-0.230164,-2.39941,9.41,-7.05252,-0.799377,-15.6024,56.0445,-21.5967,
395269568,82.1007,273.97,-9.2,23.2031,34.014,178.154,-6.59182,-248.676,-244.741,243.333,-241.21,0.30426,-1.72559,0.695251,9.03,-14.8982,-0.522537,-26.8425,81.2131,-22.4111,
395321195,81.8886,273.442,-8.51,23.1152,34.014,178.154,-6.59182,-247.976,-244.165,242.657,-240.79,-39.0974,-0.212769,1.54706,8.3,-28.4244,-0.484471,-27.0889,76.2329,-23.9528,
